location,timestamp,pm25,pm10,no2,so2,co,o3,temperature,humidity,wind_speed,rainfall,pressure,aqi,day,month,hour,season,location_encoded,aqi_lag1,aqi_lag24,pm25_rolling7,target_24h,target_48h,target_72h,target_7d
Bengaluru,2024-01-01 00:00:00,139.87,241.62,44.96,26.14,1.29,20.22,32.5,47.4,11.2,0.0,1009.7,311,1,1,0,1,5,311.0,311.0,139.87,211.0,286.0,250.0,258.0
Indore,2024-01-01 01:00:00,114.47,205.29,24.04,22.46,1.72,54.75,24.0,55.5,6.5,15.0,1015.1,254,1,1,1,1,3,311.0,311.0,127.17,261.0,118.0,395.0,202.0
Indore,2024-01-01 02:00:00,145.91,219.43,69.81,23.98,1.17,29.41,24.3,52.9,7.9,15.0,1026.4,317,1,1,2,1,3,254.0,311.0,133.41666666666666,169.0,289.0,47.0,185.0
Indore,2024-01-01 03:00:00,180.92,323.47,43.14,22.68,2.26,33.26,32.7,83.1,5.1,0.0,1011.9,403,1,1,3,1,3,317.0,311.0,145.2925,288.0,242.0,341.0,211.0
Mumbai,2024-01-01 04:00:00,110.63,173.97,40.18,31.39,0.76,58.3,17.6,41.8,1.4,0.0,1008.1,240,1,1,4,1,4,403.0,311.0,138.35999999999999,212.0,208.0,268.0,247.0
Indore,2024-01-01 05:00:00,110.63,170.27,73.42,21.65,2.03,22.29,12.0,76.9,11.5,3.0,1008.6,248,1,1,5,1,3,240.0,311.0,133.73833333333332,245.0,293.0,230.0,299.0
Pune,2024-01-01 06:00:00,183.17,260.12,28.12,17.3,1.02,27.82,24.0,60.0,11.8,0.0,1009.8,373,1,1,6,1,6,248.0,311.0,140.79999999999998,212.0,341.0,266.0,277.0
Indore,2024-01-01 07:00:00,150.7,214.16,29.99,13.59,0.5,27.24,33.5,77.3,6.4,0.0,1020.0,309,1,1,7,1,3,373.0,311.0,142.34714285714284,416.0,336.0,97.0,337.0
Indore,2024-01-01 08:00:00,101.22,169.73,30.46,21.75,1.52,60.65,28.8,83.3,9.6,0.0,1009.8,222,1,1,8,1,3,309.0,311.0,140.4542857142857,262.0,192.0,257.0,262.0
Bhopal,2024-01-01 09:00:00,141.7,224.34,46.91,2.92,1.27,65.91,33.0,59.4,6.2,0.0,1013.8,306,1,1,9,1,1,222.0,311.0,139.85285714285712,176.0,238.0,285.0,389.0
