City,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,WindSpeed,Rainfall,Pressure,AQI
Bengaluru,2024-01-01 00:00:00,139.87,241.62,44.96,26.14,1.29,20.22,32.5,47.4,11.2,0.0,1009.7,311
Indore,2024-01-01 01:00:00,114.47,205.29,24.04,22.46,1.72,54.75,24.0,55.5,6.5,15.0,1015.1,254
Indore,2024-01-01 02:00:00,145.91,219.43,69.81,23.98,1.17,29.41,24.3,52.9,7.9,15.0,1026.4,317
Indore,2024-01-01 03:00:00,180.92,323.47,43.14,22.68,2.26,33.26,32.7,83.1,5.1,0.0,1011.9,403
Mumbai,2024-01-01 04:00:00,110.63,173.97,40.18,31.39,0.76,58.3,17.6,41.8,1.4,0.0,1008.1,240
Indore,2024-01-01 05:00:00,110.63,170.27,73.42,21.65,2.03,22.29,12.0,76.9,11.5,3.0,1008.6,248
Pune,2024-01-01 06:00:00,183.17,260.12,28.12,17.3,1.02,27.82,24.0,60.0,11.8,0.0,1009.8,373
Indore,2024-01-01 07:00:00,150.7,214.16,29.99,13.59,0.5,27.24,33.5,77.3,6.4,0.0,1020.0,309
Indore,2024-01-01 08:00:00,101.22,169.73,30.46,21.75,1.52,60.65,28.8,83.3,9.6,0.0,1009.8,222
Bhopal,2024-01-01 09:00:00,141.7,224.34,46.91,2.92,1.27,65.91,33.0,59.4,6.2,0.0,1013.8,306
Indore,2024-01-01 10:00:00,101.46,151.24,54.91,18.71,0.85,48.52,12.9,53.0,8.4,15.0,1011.4,222
Bengaluru,2024-01-01 11:00:00,101.37,166.81,59.83,18.56,0.56,48.97,29.2,59.1,9.9,3.0,1004.1,230
Bhopal,2024-01-01 12:00:00,129.68,194.67,89.15,10.45,1.4,29.88,31.6,56.5,9.3,15.0,1010.0,289
Delhi,2024-01-01 13:00:00,43.47,70.9,12.01,13.5,1.89,65.26,17.5,31.5,11.8,0.0,997.2,94
Mumbai,2024-01-01 14:00:00,51.0,78.73,57.74,25.67,1.69,41.75,33.0,82.8,9.2,0.0,1013.1,122
Bhopal,2024-01-01 15:00:00,97.51,168.63,39.09,21.61,1.43,49.94,26.2,61.9,7.6,0.0,1014.9,219
Bhopal,2024-01-01 16:00:00,79.49,137.38,38.62,20.71,1.64,36.52,46.0,39.4,5.1,0.0,1006.9,181
Bengaluru,2024-01-01 17:00:00,132.57,210.91,38.08,22.14,1.39,34.25,11.8,24.9,6.0,0.0,1008.7,285
Pune,2024-01-01 18:00:00,83.68,128.89,33.46,20.65,0.69,61.28,36.6,20.8,10.1,0.0,1004.0,181
Pune,2024-01-01 19:00:00,63.51,98.12,74.95,28.7,0.69,45.56,24.2,70.3,2.7,0.0,998.7,152
Indore,2024-01-01 20:00:00,178.63,307.64,61.48,20.86,1.3,58.32,15.7,48.1,11.0,0.0,1003.0,398
Delhi,2024-01-01 21:00:00,110.97,169.92,48.37,9.79,1.32,41.57,23.3,50.7,6.6,15.0,1015.9,241
Bengaluru,2024-01-01 22:00:00,122.7,182.04,69.62,31.41,1.83,26.12,28.9,65.8,4.9,15.0,1010.1,268
Bengaluru,2024-01-01 23:00:00,63.01,90.35,23.8,22.59,1.78,29.83,34.3,49.7,4.0,0.0,1013.3,133
Bhopal,2024-01-02 00:00:00,98.22,155.85,26.71,15.88,1.7,39.44,39.1,66.7,9.7,0.0,1024.2,211
Delhi,2024-01-02 01:00:00,124.44,198.21,13.15,11.23,1.26,29.23,37.0,59.5,7.5,0.0,1018.0,261
Bengaluru,2024-01-02 02:00:00,73.96,128.42,36.81,22.77,0.71,22.5,20.2,56.7,12.6,15.0,1015.2,169
Pune,2024-01-02 03:00:00,135.03,200.99,50.59,19.18,1.61,54.82,34.9,32.8,3.5,15.0,1009.1,288
Mumbai,2024-01-02 04:00:00,95.97,148.99,49.65,31.02,1.66,30.37,29.7,44.9,5.6,0.0,1021.4,212
Mumbai,2024-01-02 05:00:00,108.33,186.7,50.39,17.58,0.21,39.93,22.4,67.6,7.2,0.0,1019.4,245
Bengaluru,2024-01-02 06:00:00,95.93,165.91,25.42,14.14,0.98,42.15,25.5,47.1,5.1,0.0,1017.4,212
Bhopal,2024-01-02 07:00:00,194.09,301.59,60.85,26.27,1.05,29.77,22.0,77.3,7.5,0.0,1012.0,416
Mumbai,2024-01-02 08:00:00,119.46,189.18,51.83,26.48,1.46,58.31,27.3,95.5,8.5,0.0,1006.5,262
Bhopal,2024-01-02 09:00:00,77.69,118.19,59.73,21.18,1.0,22.36,21.9,68.5,9.1,0.0,1021.1,176
Indore,2024-01-02 10:00:00,152.9,271.1,17.72,24.73,1.38,41.66,19.8,81.9,12.3,3.0,1017.2,334
Indore,2024-01-02 11:00:00,71.17,103.01,52.98,19.74,1.29,41.45,30.4,69.5,3.3,15.0,1010.8,158
Bhopal,2024-01-02 12:00:00,128.35,227.64,29.0,21.64,1.32,37.24,31.4,49.5,8.6,0.0,1010.3,284
Bengaluru,2024-01-02 13:00:00,41.61,69.64,41.64,28.15,1.04,19.84,25.7,61.2,5.4,0.0,1004.7,100
Indore,2024-01-02 14:00:00,66.87,107.84,56.55,24.38,1.08,50.19,36.6,90.2,8.9,0.0,1016.6,156
Pune,2024-01-02 15:00:00,127.87,180.69,49.46,18.82,0.86,48.41,25.2,49.6,8.9,15.0,1013.0,269
Indore,2024-01-02 16:00:00,149.54,237.8,34.38,29.47,1.59,28.54,24.9,41.4,4.3,0.0,1014.4,319
Pune,2024-01-02 17:00:00,126.85,198.29,48.1,3.45,1.69,47.9,31.6,39.9,4.6,0.0,1017.6,275
Mumbai,2024-01-02 18:00:00,115.37,168.96,23.5,34.36,1.01,43.25,26.1,54.5,9.1,0.0,1016.3,239
Bengaluru,2024-01-02 19:00:00,107.96,179.48,66.4,8.06,2.16,20.07,27.6,41.9,7.6,3.0,1006.8,246
Bhopal,2024-01-02 20:00:00,60.86,108.84,44.72,15.61,1.24,26.04,9.4,84.8,6.8,0.0,1012.1,145
Indore,2024-01-02 21:00:00,91.21,148.2,65.9,19.71,2.17,53.94,27.1,61.5,9.6,0.0,1014.5,210
Bengaluru,2024-01-02 22:00:00,101.57,171.24,39.58,18.97,1.08,42.33,14.2,73.5,9.8,0.0,1014.9,226
Indore,2024-01-02 23:00:00,162.28,231.64,39.62,27.04,0.39,30.1,18.5,53.2,5.8,0.0,1002.5,335
Mumbai,2024-01-03 00:00:00,133.74,209.59,35.77,12.6,1.6,25.98,17.7,39.8,4.8,15.0,1006.0,286
Bengaluru,2024-01-03 01:00:00,49.48,71.57,62.02,21.83,1.52,30.78,19.7,37.0,3.5,0.0,1015.9,118
Delhi,2024-01-03 02:00:00,132.96,218.74,36.65,15.95,1.42,31.78,23.2,43.5,7.6,15.0,1015.9,289
Mumbai,2024-01-03 03:00:00,104.6,185.7,58.31,22.07,1.08,26.16,23.6,63.6,2.9,3.0,1021.7,242
Bhopal,2024-01-03 04:00:00,92.92,154.69,41.88,19.55,1.38,13.62,31.6,66.3,7.8,15.0,1002.7,208
Bengaluru,2024-01-03 05:00:00,144.47,206.69,16.38,20.65,1.14,53.96,28.6,67.7,11.4,0.0,1017.4,293
Pune,2024-01-03 06:00:00,161.24,248.61,38.87,16.15,1.25,51.59,13.7,34.2,6.4,0.0,1014.3,341
Indore,2024-01-03 07:00:00,157.25,254.79,29.13,16.43,1.82,20.17,27.6,58.0,5.8,0.0,1005.7,336
Pune,2024-01-03 08:00:00,86.43,134.94,48.54,22.01,1.49,39.91,29.2,41.6,13.9,3.0,1001.4,192
Bengaluru,2024-01-03 09:00:00,107.63,186.57,28.95,26.61,1.7,25.37,24.7,64.4,12.3,0.0,1017.6,238
Bhopal,2024-01-03 10:00:00,133.25,229.97,62.82,15.81,1.28,34.34,26.6,65.7,5.1,0.0,1006.1,302
Pune,2024-01-03 11:00:00,159.02,261.55,46.54,13.92,1.23,33.17,28.3,39.2,7.9,0.0,1004.1,346
Pune,2024-01-03 12:00:00,100.83,156.23,45.16,24.29,0.82,32.01,32.4,73.5,8.6,3.0,1014.7,220
Pune,2024-01-03 13:00:00,112.57,169.1,58.49,19.77,1.21,66.04,16.0,95.4,8.2,3.0,1011.9,246
Bengaluru,2024-01-03 14:00:00,75.75,109.25,63.42,25.81,0.1,31.84,25.3,71.4,13.3,0.0,1015.4,170
Indore,2024-01-03 15:00:00,72.15,111.26,47.68,13.66,1.1,26.68,37.6,55.4,7.8,0.0,1014.6,162
Pune,2024-01-03 16:00:00,152.5,238.71,35.66,7.54,1.36,27.32,36.9,52.9,8.3,0.0,1028.0,324
Mumbai,2024-01-03 17:00:00,174.25,291.05,19.62,16.27,1.68,52.61,33.0,54.7,9.7,3.0,1016.3,372
Mumbai,2024-01-03 18:00:00,117.12,194.8,37.02,14.64,1.27,14.87,30.8,45.8,11.3,3.0,1016.0,257
Indore,2024-01-03 19:00:00,160.14,228.69,38.12,19.45,1.57,27.32,38.6,62.0,10.5,0.0,1006.7,331
Delhi,2024-01-03 20:00:00,134.47,209.51,49.71,15.54,0.31,58.26,40.4,39.8,9.2,0.0,1021.4,291
Delhi,2024-01-03 21:00:00,94.2,138.72,42.48,25.19,1.37,41.42,26.1,27.8,2.5,0.0,1009.0,202
Mumbai,2024-01-03 22:00:00,134.46,196.67,59.01,17.98,0.56,40.69,20.2,61.5,5.9,0.0,1006.5,288
Pune,2024-01-03 23:00:00,181.52,314.2,38.19,21.05,0.8,67.85,25.1,58.3,10.1,3.0,1010.7,398
Bhopal,2024-01-04 00:00:00,118.57,167.98,47.09,21.1,1.31,41.45,46.0,48.9,8.3,0.0,1014.6,250
Bengaluru,2024-01-04 01:00:00,182.59,286.23,66.94,21.36,2.04,28.09,16.0,37.5,10.1,15.0,1009.2,395
Indore,2024-01-04 02:00:00,15.21,22.32,53.47,19.83,1.59,34.05,23.7,62.6,13.5,0.0,1006.7,47
Bhopal,2024-01-04 03:00:00,152.88,267.8,47.04,23.57,1.41,22.1,17.1,42.2,3.7,0.0,1006.6,341
Pune,2024-01-04 04:00:00,123.48,200.39,38.37,14.43,1.39,55.58,27.9,55.8,11.1,3.0,1013.2,268
Bengaluru,2024-01-04 05:00:00,108.04,161.25,37.87,29.8,1.04,46.04,18.6,86.2,6.4,15.0,1015.4,230
Mumbai,2024-01-04 06:00:00,123.67,197.99,34.39,18.34,1.13,53.74,26.2,68.4,10.5,15.0,1015.9,266
Indore,2024-01-04 07:00:00,40.5,68.55,39.34,10.82,1.61,54.98,13.3,36.1,7.4,0.0,1002.7,97
Bhopal,2024-01-04 08:00:00,111.21,198.32,60.09,21.32,0.71,32.2,31.3,37.6,14.3,0.0,1007.0,257
Bengaluru,2024-01-04 09:00:00,134.28,199.84,44.45,14.04,1.7,24.77,35.6,60.4,7.9,15.0,1017.6,285
Mumbai,2024-01-04 10:00:00,179.12,314.25,26.4,24.66,1.21,37.28,24.3,36.0,5.5,0.0,1009.5,391
Mumbai,2024-01-04 11:00:00,99.27,176.08,76.29,35.47,1.81,25.78,26.1,26.0,8.8,0.0,1013.2,236
Bengaluru,2024-01-04 12:00:00,87.66,154.86,53.12,14.49,1.88,40.31,25.9,66.5,8.5,15.0,1027.8,204
Delhi,2024-01-04 13:00:00,99.93,165.3,25.49,22.33,0.56,53.85,28.3,63.1,11.1,0.0,998.5,217
Delhi,2024-01-04 14:00:00,156.62,258.72,40.93,7.71,1.11,35.65,26.7,65.2,8.9,0.0,1011.2,340
Bengaluru,2024-01-04 15:00:00,133.15,207.89,49.77,23.18,0.97,40.1,32.4,62.2,15.4,3.0,1016.2,288
Bengaluru,2024-01-04 16:00:00,98.81,168.07,75.27,13.8,0.49,36.69,35.6,57.0,7.1,0.0,1006.1,232
Bengaluru,2024-01-04 17:00:00,140.53,226.61,30.27,15.63,0.88,49.24,21.3,47.4,7.2,0.0,1011.2,301
Mumbai,2024-01-04 18:00:00,123.88,207.01,63.62,12.29,2.62,28.65,24.8,66.3,5.6,3.0,1004.8,279
Pune,2024-01-04 19:00:00,158.75,249.45,70.39,25.13,1.7,7.25,33.3,82.5,7.8,0.0,1015.5,348
Pune,2024-01-04 20:00:00,91.92,155.58,37.94,27.05,2.36,44.59,17.0,50.0,8.2,0.0,1008.0,205
Indore,2024-01-04 21:00:00,106.89,184.9,43.56,20.16,1.81,51.83,13.2,41.7,8.4,0.0,1009.4,241
