timestamp,location,pm25,pm10,no2,so2,co,o3,temperature,humidity,wind_speed,rainfall,pressure,aqi
2025-01-01 00:00:00,Mumbai,127.38,199.08,61.03,14.68,0.86,45.52,31.4,41.2,5.5,0.0,1025.0,280
2025-01-01 01:00:00,Delhi,105.16,150.0,54.06,16.48,1.44,31.26,21.0,77.7,7.3,0.0,1014.8,226
2025-01-01 02:00:00,Mumbai,132.67,204.25,79.55,13.48,0.9,50.03,42.0,31.4,6.0,2.5,1006.2,295
2025-01-01 03:00:00,Indore,163.31,235.88,22.81,20.3,1.16,48.64,35.8,73.5,11.9,2.5,1011.5,333
2025-01-01 04:00:00,Mumbai,101.8,175.44,63.89,24.75,1.78,36.24,28.1,55.6,8.5,0.0,1016.8,236
2025-01-01 05:00:00,Indore,101.81,181.12,62.2,7.54,0.94,29.58,33.2,47.7,13.5,12.0,1018.3,238
2025-01-01 06:00:00,Bhopal,165.27,236.16,30.4,20.46,0.57,23.33,18.2,57.5,9.2,0.0,1011.7,339
2025-01-01 07:00:00,Delhi,136.86,243.89,60.11,16.34,0.78,34.55,43.1,66.0,1.0,0.0,1014.6,313
2025-01-01 08:00:00,Delhi,93.57,150.55,50.04,18.68,1.6,41.84,24.5,75.5,11.2,2.5,1011.4,209
2025-01-01 09:00:00,Indore,128.99,196.04,41.59,20.75,1.3,31.11,27.3,59.7,3.5,0.0,1011.7,275
2025-01-01 10:00:00,Indore,93.78,134.18,32.64,16.87,1.15,8.63,16.9,41.6,8.7,12.0,1015.6,197
2025-01-01 11:00:00,Delhi,93.7,149.94,34.21,17.38,1.0,50.22,30.9,55.8,5.7,0.0,1019.2,204
2025-01-01 12:00:00,Mumbai,118.47,203.51,75.75,16.72,1.39,37.28,21.4,82.3,14.4,2.5,1006.3,274
2025-01-01 13:00:00,Mumbai,43.04,72.42,45.01,23.82,0.86,30.44,28.6,75.2,12.3,0.0,1010.8,104
2025-01-01 14:00:00,Mumbai,49.63,70.48,56.73,20.51,1.32,45.29,24.7,68.6,5.8,2.5,1009.0,116
2025-01-01 15:00:00,Delhi,90.32,129.08,33.14,19.32,0.91,53.3,21.5,66.9,7.6,0.0,1007.0,190
2025-01-01 16:00:00,Bhopal,74.55,116.39,33.3,10.37,0.84,5.0,23.2,65.5,8.7,0.0,1006.7,163
2025-01-01 17:00:00,Indore,121.0,183.69,61.23,15.73,0.95,40.21,29.4,72.4,10.6,0.0,1012.1,264
2025-01-01 18:00:00,Indore,78.22,116.78,24.76,23.39,1.05,17.88,20.3,48.2,8.1,0.0,1006.6,166
2025-01-01 19:00:00,Delhi,60.57,91.61,38.77,18.23,1.18,40.99,23.5,34.7,4.9,12.0,1006.5,135
2025-01-01 20:00:00,Bhopal,161.3,277.66,45.51,21.96,1.29,36.54,32.0,56.0,5.8,0.0,1011.1,356
2025-01-01 21:00:00,Delhi,102.1,180.89,46.67,28.6,0.1,42.63,43.6,42.7,8.0,2.5,1007.1,233
2025-01-01 22:00:00,Mumbai,112.36,175.52,42.31,24.23,0.88,29.01,30.9,39.2,11.7,12.0,1014.5,243
2025-01-01 23:00:00,Mumbai,60.13,105.98,50.94,18.56,1.04,12.52,22.5,44.2,9.3,0.0,1009.6,144
2025-01-02 00:00:00,Indore,90.95,139.02,55.39,14.93,1.8,29.6,25.8,92.3,5.7,0.0,1006.0,202
2025-01-02 01:00:00,Indore,113.88,181.14,56.02,2.68,0.77,39.88,28.2,57.0,9.9,0.0,1023.6,252
2025-01-02 02:00:00,Indore,69.72,103.9,30.21,16.99,1.27,47.18,25.9,60.4,6.8,0.0,1001.3,150
2025-01-02 03:00:00,Indore,123.15,203.96,40.74,16.04,1.8,20.94,33.4,36.7,10.7,0.0,1016.3,270
2025-01-02 04:00:00,Mumbai,88.98,159.41,62.92,20.34,0.67,47.32,29.3,27.3,15.6,0.0,1013.7,211
2025-01-02 05:00:00,Mumbai,99.79,163.8,58.42,17.08,1.36,27.23,33.4,42.7,6.9,12.0,1009.6,226
2025-01-02 06:00:00,Bhopal,88.94,137.25,24.41,16.08,0.88,39.35,26.1,76.6,10.4,0.0,1007.5,189
2025-01-02 07:00:00,Indore,174.83,290.06,50.27,7.32,1.0,28.88,36.0,60.0,5.8,2.5,1020.6,382
2025-01-02 08:00:00,Delhi,109.53,158.72,15.33,12.36,0.88,37.19,27.0,64.0,7.7,12.0,1022.6,224
2025-01-02 09:00:00,Bhopal,72.98,128.11,45.7,20.86,0.91,45.7,22.2,66.1,8.1,0.0,1010.5,170
2025-01-02 10:00:00,Bhopal,138.79,222.23,73.47,28.3,2.29,20.28,41.1,46.1,7.4,0.0,1009.8,309
2025-01-02 11:00:00,Mumbai,67.27,106.27,30.78,17.41,1.54,26.84,17.1,75.8,15.4,12.0,1017.6,148
2025-01-02 12:00:00,Indore,117.31,191.73,32.49,19.97,1.64,37.22,23.6,45.5,7.1,0.0,1010.8,254
2025-01-02 13:00:00,Bhopal,41.41,68.33,56.46,23.71,1.4,63.82,24.2,76.1,9.8,0.0,1014.9,104
2025-01-02 14:00:00,Indore,63.51,90.74,21.86,13.13,0.56,24.64,43.0,61.6,2.2,0.0,1014.8,133
2025-01-02 15:00:00,Mumbai,116.89,195.56,35.51,20.2,1.36,59.48,38.8,28.2,9.3,2.5,1012.2,256
2025-01-02 16:00:00,Bhopal,135.85,203.33,53.95,13.56,1.63,59.05,37.0,43.8,11.4,0.0,1012.8,291
2025-01-02 17:00:00,Bhopal,116.0,195.52,35.49,23.19,0.86,33.83,26.0,28.2,6.4,0.0,1013.8,255
2025-01-02 18:00:00,Delhi,105.95,183.19,41.46,18.91,1.59,31.42,42.6,72.4,1.0,0.0,1006.6,238
2025-01-02 19:00:00,Mumbai,99.46,171.23,56.16,19.79,1.48,26.7,30.2,54.6,7.9,0.0,1008.6,228
2025-01-02 20:00:00,Delhi,58.25,94.43,51.32,13.3,1.94,34.18,33.9,21.6,8.1,2.5,1013.1,137
2025-01-02 21:00:00,Mumbai,84.81,136.37,49.0,22.24,1.03,18.12,29.1,60.6,10.2,12.0,1009.7,191
2025-01-02 22:00:00,Delhi,93.88,136.79,39.91,30.51,0.76,34.09,27.7,46.9,14.0,0.0,1025.0,200
2025-01-02 23:00:00,Mumbai,147.0,251.39,50.55,11.95,1.06,52.96,26.5,32.7,6.9,12.0,1012.7,327
2025-01-03 00:00:00,Mumbai,122.03,184.08,43.14,15.96,1.77,27.67,26.7,80.2,5.4,0.0,1003.3,261
2025-01-03 01:00:00,Bhopal,48.29,77.21,51.87,19.39,0.47,32.11,31.7,56.6,4.5,0.0,997.9,115
2025-01-03 02:00:00,Delhi,121.34,183.68,37.55,22.72,0.37,14.59,30.2,50.6,8.6,0.0,1016.1,258
2025-01-03 03:00:00,Delhi,96.52,140.3,42.26,14.64,1.24,39.49,27.8,49.0,9.4,0.0,1012.7,206
2025-01-03 04:00:00,Delhi,86.31,142.57,30.15,2.0,1.02,38.17,37.1,32.3,6.4,2.5,1019.2,190
2025-01-03 05:00:00,Bhopal,131.41,186.83,44.47,26.16,1.2,35.76,10.2,35.4,10.3,2.5,1008.8,275
2025-01-03 06:00:00,Indore,146.08,248.27,32.83,22.56,1.58,32.4,31.1,74.3,9.4,12.0,1011.4,319
2025-01-03 07:00:00,Mumbai,142.59,217.75,28.29,7.54,0.98,31.49,32.3,47.9,8.1,2.5,1013.4,299
2025-01-03 08:00:00,Delhi,80.63,112.88,48.88,14.35,0.45,41.02,34.9,55.3,5.3,0.0,1011.2,174
2025-01-03 09:00:00,Mumbai,99.18,159.13,48.19,27.41,2.02,34.65,27.6,24.3,6.6,2.5,1010.8,220
2025-01-03 10:00:00,Bhopal,121.59,172.51,56.74,26.69,0.8,38.78,29.2,35.2,1.0,2.5,1015.6,259
